cpu,case,family,dtype,atol,rtol,max_diff,max_tolerance_fraction,status
cortex-m55,abs_float_default_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,abs_float_default_f32,BasicMathFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,abs_float_tail_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,abs_float_tail_f32,BasicMathFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,add_float_channel_broadcast_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,add_float_channel_broadcast_f32,BasicMathFunctions,FP32,5e-05,2e-05,1.07288361e-06,0.020366,PASS
cortex-m55,add_float_default_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,add_float_default_f32,BasicMathFunctions,FP32,5e-05,2e-05,1.07288361e-06,0.019741,PASS
cortex-m55,add_float_legacy_fp16_tail,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,add_float_scalar_broadcast_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,add_float_scalar_broadcast_f32,BasicMathFunctions,FP32,5e-05,2e-05,1.07288361e-06,0.020429,PASS
cortex-m55,add_float_tail_f16,BasicMathFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,add_float_tail_f32,BasicMathFunctions,FP32,5e-05,2e-05,9.53674316e-07,0.014555,PASS
cortex-m55,avg_pool_float_1d_k2s2_f16,PoolingFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,avg_pool_float_1d_k2s2_f32,PoolingFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,avg_pool_float_default_f16,PoolingFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,avg_pool_float_default_f32,PoolingFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,avg_pool_float_nhwc_alias_f16,PoolingFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,avg_pool_float_nhwc_alias_f32,PoolingFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
